store_id,category-id,Product-id,name,price,description,stock_quantity
2,14,1006,Noise Cancelling Headphones,349.99,Premium wireless headphones            Brand: Sony,45
1,34,2005,Designer High Heels,299.99,Elegant evening heels            Brand: Jimmy Choo,30
2,39,2006,Leather Oxford Shoes,249.99,Classic formal shoes            Brand: Cole Haan,40
1,52,3003,Modern Pendant Light,199.99,Contemporary ceiling light            Brand: Philips,40
1,53,3004,Abstract Canvas Set,149.99,Set of 3 canvas prints            Brand: Art Gallery,25
1,57,3005,Non-stick Pan Set,199.99,Premium cookware set            Brand: Le Creuset,35
1,58,3006,Porcelain Dinner Set,149.99,16-piece dining set            Brand: Royal Doulton,50
2,72,4007,Designer Perfume,129.99,Luxury women's fragrance            Brand: Chanel,60
2,73,4008,Makeup Brush Set,79.99,Professional makeup brushes            Brand: MAC,100
1,84,5005,Men's Running Jacket,89.99,Lightweight running jacket            Brand: Nike,75
1,85,5006,Women's Training Shoes,129.99,Cross-training athletic shoes            Brand: Adidas,60
1,98,6005,Interactive Baby Doll,39.99,Educational baby doll with accessories            Brand: Mattel,80
1,99,6006,Family Board Game Set,49.99,Classic board game collection            Brand: Hasbro,70
2,105,7003,Electric Toothbrush,89.99,Smart sonic toothbrush            Brand: Philips,90
1,106,7004,Intimate Care Set,39.99,Personal care essentials            Brand: Durex,150
2,112,8003,Motorcycle Helmet,199.99,DOT certified safety helmet            Brand: Bell,30
1,113,8004,Car GPS Navigator,149.99,7-inch touchscreen GPS            Brand: Garmin,45
2,119,9003,Premium Coffee Set,59.99,Specialty coffee collection            Brand: Starbucks,120
2,120,9004,Gourmet Nuts Selection,34.99,Mixed premium nuts            Brand: Planters,200
2,128,10003,4K Movie Collection,79.99,Premium movie box set            Brand: Universal Pictures,70
1,130,10004,Vinyl Record Collection,129.99,Classic rock vinyl set            Brand: Sony Music,40
1,136,11003,Ergonomic Office Chair,299.99,Premium mesh office chair            Brand: Herman Miller,25
1,137,11004,Video Conference Camera,199.99,HD webcam with microphone            Brand: Logitech,40
1,143,12003,Large Bird Cage,199.99,Spacious parrot cage            Brand: Prevue Pet,20
1,144,12004,Aquarium Starter Kit,149.99,Complete 20-gallon setup            Brand: Tetra,30
1,151,13003,Luxury Chronograph Watch,1499.99,Swiss-made automatic watch            Brand: TAG Heuer,15
2,152,13004,Rose Gold Watch,899.99,Elegant women's timepiece            Brand: Michael Kors,25
1,158,14003,Industrial Face Masks,49.99,N95 protective masks 50pc            Brand: 3M,200
2,159,14004,Digital Caliper,79.99,Precision measuring tool            Brand: Mitutoyo,40
1,163,15003,Travel Adapter Set,29.99,Universal power adapter            Brand: EPICKA,150
2,164,15004,Travel Toiletry Kit,39.99,Complete grooming essentials            Brand: Victorinox,100
